[alpha, beta]
[1. 1.]
[1.485 1.515]
[1.969 2.031]
[2.446 2.554]
[2.937 3.063]
[3.446 3.554]
[3.952 4.048]
[4.454 4.546]
[4.949 5.051]
[5.463 5.537]
[5.984 6.016]
[6.495 6.505]
[6.989 7.011]
[7.525 7.475]
[8.027 7.973]
[8.537 8.463]
[9.014 8.986]
[9.527 9.473]
[10.028  9.972]
[10.53 10.47]
[11.026 10.974]
[11.521 11.479]
[12.003 11.997]
[12.51 12.49]
[12.993 13.007]
[13.479 13.521]
[13.99 14.01]
[14.488 14.512]
[14.989 15.011]
[15.473 15.527]
[16.005 15.995]
[16.488 16.512]
[16.99 17.01]
[17.511 17.489]
[18.005 17.995]
[18.508 18.492]
[19.02 18.98]
[19.49 19.51]
[19.973 20.027]
[20.496 20.504]
[20.99 21.01]
[21.508 21.492]
[21.979 22.021]
[22.49 22.51]
[22.993 23.007]
[23.474 23.526]
[23.987 24.013]
[24.495 24.505]
[24.995 25.005]
[25.493 25.507]
[26.001 25.999]
[26.476 26.524]
[26.969 27.031]
[27.455 27.545]
[27.983 28.017]
[28.492 28.508]
[28.98 29.02]
[29.47 29.53]
[29.974 30.026]
[30.481 30.519]
[30.953 31.047]
[31.46 31.54]
[31.965 32.035]
[32.463 32.537]
[32.983 33.017]
[33.51 33.49]
[34.027 33.973]
[34.529 34.471]
[35.038 34.962]
[35.515 35.485]
[36.005 35.995]
[36.482 36.518]
[36.998 37.002]
[37.482 37.518]
[37.983 38.017]
[38.494 38.506]
[39.017 38.983]
[39.529 39.471]
[40.011 39.989]
[40.504 40.496]
[41.021 40.979]
[41.549 41.451]
[42.035 41.965]
[42.533 42.467]
[43.039 42.961]
[43.554 43.446]
[44.048 43.952]
[44.563 44.437]
[45.067 44.933]
[45.568 45.432]
[46.074 45.926]
[46.595 46.405]
[47.088 46.912]
[47.585 47.415]
[48.091 47.909]
[48.582 48.418]
[49.08 48.92]
[49.583 49.417]
[50.081 49.919]
[50.589 50.411]
[51.09 50.91]
[51.583 51.417]
[52.061 51.939]
[52.557 52.443]
[53.049 52.951]
[53.543 53.457]
[54.029 53.971]
[54.547 54.453]
[55.058 54.942]
[55.573 55.427]
[56.05 55.95]
[56.543 56.457]
[57.042 56.958]
[57.559 57.441]
[58.038 57.962]
[58.545 58.455]
[59.037 58.963]
[59.543 59.457]
[60.051 59.949]
[60.556 60.444]
[61.051 60.949]
[61.549 61.451]
[62.043 61.957]
[62.549 62.451]
[63.071 62.929]
[63.565 63.435]
[64.046 63.954]
[64.532 64.468]
[65.017 64.983]
[65.519 65.481]
[66.02 65.98]
[66.532 66.468]
[66.998 67.002]
[67.495 67.505]
[68. 68.]
[68.508 68.492]
[69.028 68.972]
[69.538 69.462]
[70.037 69.963]
[70.532 70.468]
[71.038 70.962]
[71.56 71.44]
[72.04 71.96]
[72.554 72.446]
[73.067 72.933]
[73.57 73.43]
[74.085 73.915]
[74.584 74.416]
[75.072 74.928]
[75.567 75.433]
[76.063 75.937]
[76.563 76.437]
[77.034 76.966]
[77.512 77.488]
[77.987 78.013]
[78.503 78.497]
[78.993 79.007]
[79.491 79.509]
[79.973 80.027]
[80.476 80.524]
[80.973 81.027]
[81.497 81.503]
[82.005 81.995]
[82.502 82.498]
[82.99 83.01]
[83.497 83.503]
[84.007 83.993]
[84.498 84.502]
[85.002 84.998]
