[alpha, beta]
[1. 1.]
[4.703 2.297]
[8.432 3.568]
[12.191  4.809]
[15.982  6.018]
[19.691  7.309]
[23.449  8.551]
[27.151  9.849]
[30.914 11.086]
[34.71 12.29]
[38.456 13.544]
[42.214 14.786]
[45.904 16.096]
[49.623 17.377]
[53.381 18.619]
[57.041 19.959]
[60.791 21.209]
[64.535 22.465]
[68.227 23.773]
[71.975 25.025]
[75.69 26.31]
[79.442 27.558]
[83.186 28.814]
[86.948 30.052]
[90.729 31.271]
[94.54 32.46]
[98.302 33.698]
[102.016  34.984]
[105.835  36.165]
[109.596  37.404]
[113.321  38.679]
[117.07  39.93]
[120.808  41.192]
[124.557  42.443]
[128.27  43.73]
[132.064  44.936]
[135.82  46.18]
[139.575  47.425]
[143.386  48.614]
[147.143  49.857]
[150.904  51.096]
[154.666  52.334]
[158.464  53.536]
[162.214  54.786]
[166.  56.]
[169.812  57.188]
[173.586  58.414]
[177.36  59.64]
[181.072  60.928]
[184.817  62.183]
[188.486  63.514]
[192.277  64.723]
[195.975  66.025]
[199.732  67.268]
[203.457  68.543]
[207.219  69.781]
[210.967  71.033]
[214.685  72.315]
[218.468  73.532]
[222.213  74.787]
[225.958  76.042]
[229.701  77.299]
[233.444  78.556]
[237.189  79.811]
[240.933  81.067]
[244.685  82.315]
[248.373  83.627]
[252.059  84.941]
[255.871  86.129]
[259.691  87.309]
[263.424  88.576]
[267.196  89.804]
[270.899  91.101]
[274.672  92.328]
[278.362  93.638]
[282.089  94.911]
[285.826  96.174]
[289.551  97.449]
[293.297  98.703]
[297.086  99.914]
[300.851 101.149]
[304.575 102.425]
[308.368 103.632]
[312.12 104.88]
[315.836 106.164]
[319.607 107.393]
[323.371 108.629]
[327.075 109.925]
[330.786 111.214]
[334.548 112.452]
[338.258 113.742]
[341.947 115.053]
[345.673 116.327]
[349.385 117.615]
[353.122 118.878]
[356.884 120.116]
[360.634 121.366]
[364.369 122.631]
[368.127 123.873]
[371.899 125.101]
[375.665 126.335]
[379.431 127.569]
[383.28 128.72]
[387.012 129.988]
[390.782 131.218]
[394.491 132.509]
[398.215 133.785]
[401.982 135.018]
[405.703 136.297]
[409.409 137.591]
[413.131 138.869]
[416.889 140.111]
[420.641 141.359]
[424.372 142.628]
[428.102 143.898]
[431.804 145.196]
[435.574 146.426]
[439.287 147.713]
[443.051 148.949]
[446.816 150.184]
[450.605 151.395]
[454.319 152.681]
[458.066 153.934]
[461.782 155.218]
[465.525 156.475]
[469.259 157.741]
[472.987 159.013]
[476.718 160.282]
[480.431 161.569]
[484.189 162.811]
[487.962 164.038]
[491.747 165.253]
[495.47 166.53]
[499.214 167.786]
[502.953 169.047]
[506.68 170.32]
[510.439 171.561]
[514.219 172.781]
[517.964 174.036]
[521.693 175.307]
[525.411 176.589]
[529.17 177.83]
[532.955 179.045]
[536.709 180.291]
[540.476 181.524]
[544.237 182.763]
[547.964 184.036]
[551.682 185.318]
[555.421 186.579]
[559.223 187.777]
[562.975 189.025]
[566.661 190.339]
[570.482 191.518]
[574.251 192.749]
[577.953 194.047]
[581.744 195.256]
[585.497 196.503]
[589.191 197.809]
[592.93 199.07]
[596.668 200.332]
[600.408 201.592]
[604.115 202.885]
[607.915 204.085]
[611.636 205.364]
[615.347 206.653]
[619.1 207.9]
[622.88 209.12]
[626.577 210.423]
[630.331 211.669]
[634.062 212.938]
[637.807 214.193]
[641.512 215.488]
[645.271 216.729]
[649.057 217.943]
[652.777 219.223]
[656.519 220.481]
[660.242 221.758]
[663.966 223.034]
[667.756 224.244]
[671.529 225.471]
[675.307 226.693]
[679.091 227.909]
[682.803 229.197]
[686.562 230.438]
[690.23 231.77]
[693.961 233.039]
[697.635 234.365]
[701.378 235.622]
[705.096 236.904]
[708.884 238.116]
[712.671 239.329]
[716.415 240.585]
[720.149 241.851]
[723.854 243.146]
[727.63 244.37]
[731.395 245.605]
[735.167 246.833]
[738.921 248.079]
[742.621 249.379]
[746.345 250.655]
[750.092 251.908]
[753.894 253.106]
[757.589 254.411]
[761.405 255.595]
[765.184 256.816]
[768.882 258.118]
[772.648 259.352]
[776.353 260.647]
[780.076 261.924]
[783.81 263.19]
[787.58 264.42]
[791.352 265.648]
[795.088 266.912]
[798.838 268.162]
[802.543 269.457]
[806.315 270.685]
[810.065 271.935]
[813.812 273.188]
[817.564 274.436]
[821.376 275.624]
[825.126 276.874]
[828.879 278.121]
[832.685 279.315]
[836.47 280.53]
[840.232 281.768]
[844.013 282.987]
[847.682 284.318]
[851.444 285.556]
[855.172 286.828]
[858.923 288.077]
[862.661 289.339]
[866.395 290.605]
[870.188 291.812]
[873.935 293.065]
[877.681 294.319]
[881.395 295.605]
[885.129 296.871]
[888.891 298.109]
[892.584 299.416]
[896.322 300.678]
[900.07 301.93]
[903.858 303.142]
[907.598 304.402]
[911.369 305.631]
[915.123 306.877]
[918.817 308.183]
[922.587 309.413]
[926.3 310.7]
[930.016 311.984]
[933.795 313.205]
[937.539 314.461]
[941.287 315.713]
[945.046 316.954]
[948.794 318.206]
[952.548 319.452]
[956.315 320.685]
[960.099 321.901]
[963.801 323.199]
[967.549 324.451]
[971.259 325.741]
[975.016 326.984]
[978.759 328.241]
[982.531 329.469]
[986.264 330.736]
[990.017 331.983]
[993.752 333.248]
[997.465 334.535]
[1001.198  335.802]
[1004.968  337.032]
[1008.783  338.217]
[1012.578  339.422]
[1016.34  340.66]
[1020.032  341.968]
[1023.815  343.185]
[1027.564  344.436]
[1031.33  345.67]
[1035.131  346.869]
