[alpha, beta]
[1. 1.]
[1.754 1.246]
[5.501 2.499]
[6.252 2.748]
[9.951 4.049]
[10.707  4.293]
[14.458  5.542]
[15.198  5.802]
[18.954  7.046]
[19.699  7.301]
[23.396  8.604]
[24.178  8.822]
[27.91 10.09]
[28.677 10.323]
[32.45 11.55]
[33.221 11.779]
[36.979 13.021]
[37.738 13.262]
[41.484 14.516]
[42.238 14.762]
[45.962 16.038]
[46.693 16.307]
[50.46 17.54]
[51.217 17.783]
[54.943 19.057]
[55.693 19.307]
[59.428 20.572]
[60.194 20.806]
[63.904 22.096]
[64.651 22.349]
[68.354 23.646]
[69.098 23.902]
[72.855 25.145]
[73.591 25.409]
[77.298 26.702]
[78.068 26.932]
[81.808 28.192]
[82.562 28.438]
[86.258 29.742]
[87.031 29.969]
[90.824 31.176]
[91.554 31.446]
[95.284 32.716]
[96.025 32.975]
[99.71 34.29]
[100.486  34.514]
[104.192  35.808]
[104.925  36.075]
[108.612  37.388]
[109.359  37.641]
[113.077  38.923]
[113.809  39.191]
[117.627  40.373]
[118.347  40.653]
[122.086  41.914]
[122.85  42.15]
[126.618  43.382]
[127.351  43.649]
[131.087  44.913]
[131.858  45.142]
[135.601  46.399]
[136.377  46.623]
[140.117  47.883]
[140.849  48.151]
[144.623  49.377]
[145.388  49.612]
[149.16  50.84]
[149.905  51.095]
[153.671  52.329]
[154.411  52.589]
[158.123  53.877]
[158.879  54.121]
[162.604  55.396]
[163.36  55.64]
[167.123  56.877]
[167.885  57.115]
[171.637  58.363]
[172.375  58.625]
[176.139  59.861]
[176.866  60.134]
[180.582  61.418]
[181.332  61.668]
[185.09  62.91]
[185.84  63.16]
[189.661  64.339]
[190.392  64.608]
[194.096  65.904]
[194.872  66.128]
[198.584  67.416]
[199.343  67.657]
[203.124  68.876]
[203.861  69.139]
[207.573  70.427]
[208.326  70.674]
[212.075  71.925]
[212.826  72.174]
[216.607  73.393]
[217.376  73.624]
[221.144  74.856]
[221.901  75.099]
[225.688  76.312]
[226.417  76.583]
[230.171  77.829]
[230.919  78.081]
[234.645  79.355]
[235.41  79.59]
[239.161  80.839]
[239.919  81.081]
[243.685  82.315]
[244.425  82.575]
[248.162  83.838]
[248.896  84.104]
[252.635  85.365]
[253.367  85.633]
[257.095  86.905]
[257.835  87.165]
[261.563  88.437]
[262.305  88.695]
[266.106  89.894]
[266.88  90.12]
